"price";"type";"usage";"shared";"device";"newsletter";"language";"duration";"churn"
18;"Promo";49;0;"Computer";0;"en";87;1
27;"Regular";88,5;1;"Phone";0;"en";56;1
22;"Promo";19;0;"Tablet";1;"sp";55;1
11;"Premium";81;0;"Phone";0;"en";78;0
18;"Promo";90;0;"Tablet";0;"fr";7;0
21;"Promo";81;0;"Phone";0;"en";100;0
19;"Promo";55;1;"Tablet";1;"en";43;0
13;"Premium";55;0;"Computer";0;"de";55;1
28;"Regular";24;0;"Phone";1;"en";38;0
22;"Promo";82;0;"Computer";0;"sp";38;0
13;"Regular";77;0;"Phone";1;"en";67;1
27;"Promo";64;0;"Computer";1;"en";33;1
17;"Promo";0;0;"Tablet";0;"en";81;0
29;"Premium";26;0;"Tablet";0;"en";46;1
11;"Promo";69;0;"Phone";0;"sp";75;0
15;"Promo";43;0;"Phone";1;"en";88;0
18;"Regular";23;0;"Phone";0;"en";6;1
17;"Premium";12;0;"Tablet";1;"en";55;0
29;"Premium";93;0;"Tablet";1;"en";31;1
12;"Premium";16;0;"Phone";1;"en";94;1
22;"Premium";31;0;"Computer";1;"en";17;1
25;"Promo";82;0;"Phone";0;"en";36;1
19;"Promo";67,5;1;"Phone";1;"en";14;0
15;"Regular";80;0;"Phone";0;"sp";52;0
29;"Promo";33;0;"Computer";1;"sp";65;1
20;"Premium";40;0;"Phone";1;"en";74;0
23;"Premium";13;1;"Computer";0;"en";57;0
18;"Regular";36;0;"Tablet";0;"en";22;0
21;"Premium";46,5;1;"Phone";1;"fr";13;0
10;"Promo";19;1;"Tablet";0;"sp";35;1
17;"Promo";76;0;"Phone";0;"sp";27;0
17;"Promo";25,5;1;"Computer";0;"sp";92;0
18;"Promo";102;1;"Phone";1;"en";94;0
29;"Promo";5;0;"Computer";0;"sp";59;1
15;"Regular";13;0;"Computer";1;"de";63;1
29;"Promo";20;0;"Phone";1;"fr";57;0
14;"Promo";98;0;"Tablet";0;"en";4;1
10;"Regular";10;0;"Phone";1;"sp";23;0
8;"Promo";64;0;"Phone";0;"fr";32;0
11;"Promo";55,5;1;"Computer";0;"sp";68;1
20;"Regular";90;0;"Phone";1;"de";85;0
21;"Regular";28;0;"Phone";1;"sp";52;0
29;"Premium";13,5;1;"Phone";1;"en";16;0
9;"Regular";6;0;"Phone";0;"sp";61;0
14;"Regular";81;1;"Phone";1;"sp";98;0
24;"Promo";63;0;"Phone";1;"de";67;1
23;"Premium";133,5;1;"Tablet";1;"en";26;0
17;"Regular";50;1;"Phone";0;"en";29;1
18;"Promo";72;0;"Phone";1;"fr";84;1
24;"Promo";38;0;"Phone";1;"fr";30;1
23;"Promo";94;0;"Phone";1;"en";64;0
14;"Regular";20;1;"Tablet";0;"sp";90;1
29;"Premium";76;0;"Computer";1;"en";98;0
11;"Promo";65;1;"Computer";0;"en";64;1
15;"Promo";10;0;"Phone";0;"sp";80;0
24;"Premium";0;1;"Phone";0;"sp";61;1
20;"Promo";79;1;"Phone";1;"en";8;0
26;"Premium";50;0;"Phone";0;"sp";0;1
25;"Regular";46,5;1;"Computer";0;"sp";61;0
10;"Regular";59;1;"Phone";1;"sp";58;0
12;"Promo";49,5;1;"Computer";1;"en";33;0
21;"Regular";53;0;"Phone";0;"de";57;1
8;"Promo";84;0;"Phone";1;"en";83;0
27;"Regular";42;0;"Computer";1;"en";61;1
28;"Promo";11;0;"Computer";0;"sp";14;0
22;"Regular";97;0;"Phone";0;"sp";29;1
11;"Promo";97;0;"Tablet";0;"sp";18;1
16;"Regular";56;1;"Tablet";1;"en";59;0
24;"Premium";24;1;"Computer";0;"sp";8;0
29;"Premium";8;0;"Phone";0;"en";51;1
22;"Promo";42;0;"Tablet";1;"sp";42;1
11;"Regular";96;0;"Tablet";0;"fr";64;0
22;"Promo";15;0;"Phone";0;"sp";42;1
10;"Promo";54;1;"Phone";1;"en";89;0
29;"Premium";73;0;"Computer";0;"en";99;0
18;"Promo";35;0;"Tablet";1;"sp";28;1
24;"Promo";38;0;"Phone";0;"en";7;1
13;"Regular";61;0;"Computer";1;"sp";10;1
11;"Promo";63;1;"Tablet";0;"fr";20;0
29;"Premium";94;0;"Tablet";1;"en";8;1
18;"Regular";84;0;"Phone";1;"de";65;0
26;"Promo";71;0;"Tablet";0;"fr";31;1
18;"Regular";66;0;"Phone";1;"fr";2;0
20;"Regular";79,5;1;"Computer";0;"fr";74;0
10;"Regular";41;0;"Phone";1;"en";39;1
18;"Promo";25,5;1;"Phone";1;"fr";70;0
20;"Promo";24;0;"Computer";1;"sp";23;0
28;"Promo";84;1;"Tablet";0;"en";33;0
22;"Promo";45;1;"Computer";0;"en";58;0
20;"Promo";67;0;"Computer";0;"sp";51;0
22;"Regular";138;1;"Phone";1;"en";19;0
11;"Promo";51;1;"Computer";0;"en";7;0
11;"Promo";39;1;"Tablet";1;"fr";13;0
22;"Promo";92;0;"Tablet";0;"sp";72;0
27;"Premium";96;0;"Phone";0;"de";88;1
18;"Promo";32;0;"Phone";1;"en";23;0
25;"Regular";57;1;"Phone";1;"sp";17;0
14;"Promo";79;0;"Computer";0;"en";90;1
15;"Promo";97,5;1;"Phone";0;"sp";97;0
23;"Regular";14;1;"Computer";1;"de";47;0
14;"Promo";96;0;"Computer";0;"sp";54;0
29;"Premium";28;0;"Computer";0;"en";80;1
15;"Promo";1;0;"Phone";1;"en";25;1
29;"Premium";45;0;"Tablet";0;"sp";58;1
29;"Premium";50;0;"Computer";0;"sp";95;0
14;"Regular";63;0;"Phone";1;"fr";66;0
24;"Regular";27;0;"Phone";0;"en";99;0
29;"Promo";66;1;"Computer";1;"en";59;0
19;"Promo";15;0;"Phone";0;"en";75;0
12;"Regular";85;0;"Tablet";0;"en";20;0
20;"Regular";80;0;"Phone";0;"sp";10;1
17;"Promo";54;1;"Phone";1;"en";39;0
29;"Premium";81;0;"Phone";1;"en";48;0
15;"Promo";93;0;"Tablet";1;"en";85;1
17;"Promo";84;0;"Computer";1;"sp";37;1
10;"Promo";25;0;"Computer";1;"sp";76;0
10;"Promo";97;0;"Phone";1;"sp";17;1
24;"Promo";89;0;"Computer";1;"sp";94;0
21;"Promo";77;0;"Tablet";0;"en";57;0
27;"Regular";99;0;"Phone";1;"sp";61;0
28;"Promo";145,5;1;"Tablet";1;"en";68;0
18;"Promo";33;1;"Phone";1;"en";48;0
10;"Promo";57;1;"Computer";0;"en";15;1
12;"Premium";56;0;"Phone";1;"en";81;1
4;"Promo";102;1;"Tablet";0;"en";38;0
16;"Promo";100;0;"Phone";0;"en";1;0
28;"Premium";63;0;"Tablet";0;"sp";60;0
19;"Promo";96;0;"Phone";0;"en";92;0
14;"Promo";91;0;"Phone";0;"sp";91;1
29;"Premium";38;1;"Computer";0;"en";77;1
28;"Regular";73;1;"Phone";1;"de";58;0
16;"Regular";43,5;1;"Tablet";0;"en";27;1
11;"Promo";87;1;"Phone";0;"en";97;0
12;"Regular";25,5;1;"Tablet";1;"sp";1;0
29;"Premium";25;0;"Computer";1;"sp";24;0
20;"Promo";93;0;"Tablet";0;"en";76;0
25;"Regular";49;0;"Tablet";1;"en";11;0
18;"Regular";94,5;1;"Phone";1;"sp";1;0
28;"Promo";118,5;1;"Computer";1;"en";35;0
19;"Regular";97;0;"Phone";0;"en";56;0
