"starsign";"chinese";"moon";"blood";"fingers_crossed";"success"
"Leo";"Rat";"Waxing (+)";"0+";0;0
"Aquarius";"Dragon";"New ( )";"B+";0;1
"Virgo";"Horse";"Waning (-)";"0+";0;0
"Pisces";"Tiger";"Waning (-)";"A+";1;1
"Aries";"Dog";"Waxing (+)";"A+";0;1
"Taurus";"Rabbit";"Waxing (+)";"A+";0;0
"Scorpio";"Dragon";"Waxing (+)";"A+";0;1
"Pisces";"Goat";"Waning (-)";"A+";0;0
"Scorpio";"Monkey";"Waxing (+)";"0-";1;1
"Libra";"Horse";"Waning (-)";"A+";0;1
"Aries";"Pig";"Waxing (+)";"0+";0;0
"Libra";"Tiger";"Waxing (+)";"A+";0;0
"Carpicorn";"Pig";"Waning (-)";"0+";1;1
"Scorpio";"Tiger";"Waning (-)";"B+";1;0
"Gemini";"Snake";"New ( )";"B+";1;1
"Pisces";"Dog";"Waning (-)";"AB+";0;0
"Cancer";"Ox";"Waxing (+)";"0+";0;1
"Taurus";"Dog";"Waxing (+)";"A+";0;1
"Leo";"Snake";"Waning (-)";"0+";0;0
"Aries";"Snake";"Waning (-)";"0-";0;0
"Pisces";"Snake";"Waning (-)";"A+";0;1
"Carpicorn";"Ox";"Waxing (+)";"0+";0;0
"Saggitarius";"Horse";"Full (O)";"0+";0;1
"Aries";"Rabbit";"Waxing (+)";"A-";0;0
"Saggitarius";"Pig";"Waxing (+)";"A+";0;1
"Carpicorn";"Goat";"Waning (-)";"A+";0;0
"Scorpio";"Tiger";"Waxing (+)";"0+";1;1
"Saggitarius";"Pig";"Waning (-)";"A+";0;0
"Leo";"Ox";"New ( )";"A-";0;1
"Gemini";"Dog";"Full (O)";"0-";0;1
"Aries";"Dog";"New ( )";"A+";0;0
"Pisces";"Rooster";"Full (O)";"A+";0;0
"Carpicorn";"Horse";"Waning (-)";"A+";0;1
"Aquarius";"Ox";"New ( )";"0+";0;0
"Taurus";"Monkey";"Waning (-)";"0+";1;1
"Libra";"Dog";"Waning (-)";"B+";1;0
"Aquarius";"Tiger";"Waxing (+)";"A+";0;0
"Cancer";"Pig";"Waning (-)";"0+";0;0
"Leo";"Rabbit";"Waxing (+)";"0+";0;1
"Cancer";"Horse";"Waxing (+)";"0-";0;1
"Gemini";"Snake";"Waning (-)";"0+";0;1
"Virgo";"Ox";"Waxing (+)";"0-";0;1
"Virgo";"Rat";"Waxing (+)";"A-";0;0
"Virgo";"Dragon";"Waxing (+)";"A+";0;0
"Gemini";"Rat";"Waxing (+)";"0+";1;0
"Gemini";"Goat";"Waxing (+)";"0+";0;0
"Cancer";"Goat";"Waxing (+)";"0+";0;0
"Libra";"Tiger";"Waxing (+)";"AB+";0;1
"Leo";"Pig";"Waning (-)";"0+";0;0
"Pisces";"Rat";"Waning (-)";"0+";0;0
"Taurus";"Dragon";"Waxing (+)";"0-";0;0
"Libra";"Snake";"Waning (-)";"B+";0;0
"Aquarius";"Snake";"Waxing (+)";"A+";0;1
"Gemini";"Tiger";"Full (O)";"B+";0;1
